DELETED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/.DS_Store
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch2_regional_restaurant_dataset_fix_backup_20260319_154344 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch2_regional_restaurant_dataset_fix_backup_20260319_154344
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch4_presets_builder_support_backup_20260319_161157 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch4_presets_builder_support_backup_20260319_161157
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/.patch7_flow_pages_fix_backup_20260319_181327 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/frontend/.patch7_flow_pages_fix_backup_20260319_181327
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/.patch8_recommendation_flow_polish_backup_20260319_182609 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/frontend/.patch8_recommendation_flow_polish_backup_20260319_182609
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/.patch6_flow_improvement_fixed_backup_20260319_180137 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/frontend/.patch6_flow_improvement_fixed_backup_20260319_180137
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/.patch6b_cleanup_legacy_recommendations_backup_20260319_180519 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/frontend/.patch6b_cleanup_legacy_recommendations_backup_20260319_180519
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch4_presets_builder_support.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch4_presets_builder_support.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch4_presets_compatibility_hardening.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch4_presets_compatibility_hardening.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch2_regional_restaurant_dataset_fix.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch2_regional_restaurant_dataset_fix.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch5_onboarding_account_hardening.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch5_onboarding_account_hardening.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch1_schema_foundation.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch1_schema_foundation.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch2_regional_restaurant_dataset.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch2_regional_restaurant_dataset.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch2_regional_restaurant_dataset_fix2.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch2_regional_restaurant_dataset_fix2.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch4_presets_runtime_fix.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch4_presets_runtime_fix.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/patch3_recommendation_intelligence.sh -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/patch3_recommendation_intelligence.sh
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/backups -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/frontend/backups
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/src/components/navigation/Sidebar.tsx.bak.20260313_003717 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/misc/Sidebar.tsx.bak.20260313_003717
DELETED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/tsconfig.app.tsbuildinfo
